tier	volume	paper_id	title
IN_SCOPE	2024.emnlp-main	2024.emnlp-main.207	D2R: Dual-Branch Dynamic Routing Network for Multimodal Sentiment Detection
IN_SCOPE	2024.findings-emnlp	2024.findings-emnlp.241	Emosical: An Emotion-Annotated Musical Theatre Dataset
IN_SCOPE	2024.findings-emnlp	2024.findings-emnlp.865	Knowledge-Guided Dynamic Modality Attention Fusion Framework for Multimodal Sentiment Analysis
IN_SCOPE	2025.acl-long	2025.acl-long.1075	Proxy-Driven Robust Multimodal Sentiment Analysis with Incomplete Data
IN_SCOPE	2025.emnlp-main	2025.emnlp-main.571	Dual-Path Dynamic Fusion with Learnable Query for Multimodal Sentiment Analysis
IN_SCOPE	2025.findings-acl	2025.findings-acl.338	Cross-lingual Multimodal Sentiment Analysis for Low-Resource Languages via Language Family Disentanglement and Rethinking Transfer
IN_SCOPE	2025.findings-emnlp	2025.findings-emnlp.602	TF-Mamba: Text-enhanced Fusion Mamba with Missing Modalities for Robust Multimodal Sentiment Analysis
IN_SCOPE	2026.acl-long	2026.acl-long.1461	QA-MoE: Towards a Continuous Reliability Spectrum with Quality-Aware Mixture of Experts for Robust Multimodal Sentiment Analysis
IN_SCOPE	2026.acl-long	2026.acl-long.1904	Beyond Static Alignment: Adaptive Arbitration for Semantic Incongruence in Semi-Supervised Multimodal Sentiment Analysis
IN_SCOPE	2026.findings-acl	2026.findings-acl.1225	MoLAN: A Unified Modality-Aware Noise Dynamic Editing Framework for Multimodal Sentiment Analysis
IN_SCOPE	2026.findings-acl	2026.findings-acl.1517	DEAR: Distributional Error-Aware Reliability for Robust Multimodal Sentiment Analysis with Missing Modalities
IN_SCOPE	2026.findings-acl	2026.findings-acl.1519	Fast Retrieval and Slow Reasoning for Explainable Multimodal Sentiment Analysis
IN_SCOPE	2026.findings-acl	2026.findings-acl.260	Uncertainty-Calibrated Elastic Alignment for Multimodal Sentiment Analysis with Missing Modalities
IN_SCOPE	2026.findings-acl	2026.findings-acl.784	Resource-Limited Joint Multimodal Sentiment Reasoning and Classification via Chain-of-Thought Enhancement and Distillation
other_task	2024.acl-long	2024.acl-long.402	EFSA: Towards Event-Level Financial Sentiment Analysis
other_task	2024.acl-long	2024.acl-long.548	Revisiting Structured Sentiment Analysis as Latent Dependency Graph Parsing
other_task	2024.acl-long	2024.acl-long.657	A Joint Coreference-Aware Approach to Document-Level Target Sentiment Analysis
other_task	2024.acl-long	2024.acl-long.721	S2GSL: Incorporating Segment to Syntactic Enhanced Graph Structure Learning for Aspect-based Sentiment Analysis
other_task	2024.acl-long	2024.acl-long.752	The MERSA Dataset and a Transformer-Based Approach for Speech Emotion Recognition
other_task	2024.acl-long	2024.acl-long.94	Multimodal Prompt Learning with Missing Modalities for Sentiment Analysis and Emotion Recognition
other_task	2024.emnlp-main	2024.emnlp-main.257	Visual Prompting in LLMs for Enhancing Emotion Recognition
other_task	2024.emnlp-main	2024.emnlp-main.611	Dynamic Multi-granularity Attribution Network for Aspect-based Sentiment Analysis
other_task	2024.findings-acl	2024.findings-acl.182	Transition-based Opinion Generation for Aspect-based Sentiment Analysis
other_task	2024.findings-acl	2024.findings-acl.208	DINER: Debiasing Aspect-based Sentiment Analysis with Multi-variable Causal Inference
other_task	2024.findings-acl	2024.findings-acl.232	Improving In-Context Learning with Prediction Feedback for Sentiment Analysis
other_task	2024.findings-acl	2024.findings-acl.284	Instruction Tuning with Retrieval-based Examples Ranking for Aspect-based Sentiment Analysis
other_task	2024.findings-acl	2024.findings-acl.289	SenticVec: Toward Robust and Human-Centric Neurosymbolic Sentiment Analysis
other_task	2024.findings-acl	2024.findings-acl.394	It is Simple Sometimes: A Study On Improving Aspect-Based Sentiment Analysis Performance
