venue_family	tier	venue	title	paper_id
aaai	IN_SCOPE	AAAI-24	A Unified Self-Distillation Framework for Multimodal Sentiment Analysis with Uncertain Missing Modalities	issue/584
aaai	IN_SCOPE	AAAI-25	A Multi-Focus-Driven Multi-Branch Network for Robust Multimodal Sentiment Analysis	issue/625
aaai	IN_SCOPE	AAAI-25	Bridging the Gap for Test-Time Multimodal Sentiment Analysis	issue/639
aaai	IN_SCOPE	AAAI-25	DLF: Disentangled-Language-Focused Multimodal Sentiment Analysis	issue/652
aaai	IN_SCOPE	AAAI-25	Enriching Multimodal Sentiment Analysis Through Textual Emotional Descriptions of Visual-Audio Content	issue/625
aaai	IN_SCOPE	AAAI-25	MSAmba: Exploring Multimodal Sentiment Analysis with State Space Models	issue/625
aaai	IN_SCOPE	AAAI-25	MSE-Adapter: A Lightweight Plugin Endowing LLMs with the Capability to Perform Multimodal Sentiment Analysis and Emotion Recognition	issue/647
aaai	IN_SCOPE	AAAI-25	Semi-IIN: Semi-Supervised Intra-Inter Modal Interaction Learning Network for Multimodal Sentiment Analysis	issue/625
aaai	IN_SCOPE	AAAI-25	Towards Multimodal Sentiment Analysis via Hierarchical Correlation Modeling with Semantic Distribution Constraints	issue/652
aaai	IN_SCOPE	AAAI-26	A Text-Routed Sparse Mixture-of-Experts Model with Explanation and Temporal Alignment for Multi-Modal Sentiment Analysis	issue/721
aaai	IN_SCOPE	AAAI-26	FINE: Factorized Multimodal Sentiment Analysis via Mutual INformation Estimation	issue/685
aaai	IN_SCOPE	AAAI-26	Group-aware Multiscale Ensemble Learning for Test-Time Multimodal Sentiment Analysis	issue/712
aaai	IN_SCOPE	AAAI-26	MDF: A Modality-Aware Disentanglement and Fusion Framework for Multimodal Sentiment Analysis	issue/719
aaai	IN_SCOPE	AAAI-26	PSA-MF: Personality-Sentiment Aligned Multi-Level Fusion for Multimodal Sentiment Analysis	issue/685
aaai	IN_SCOPE	AAAI-26	PaSE: Prototype-aligned Calibration and Shapley-based Equilibrium for Multimodal Sentiment Analysis	issue/719
aaai	IN_SCOPE	AAAI-26	Recovering Coherent Affective Patterns: Addressing Modality Missing in Multimodal Sentiment Analysis	issue/708
aaai	IN_SCOPE	AAAI-26	TMDC: A Two-Stage Modality Denoising and Complementation Framework for Multimodal Sentiment Analysis with Missing and Noisy Modalities	issue/685
aaai	other_task	AAAI-24	A Brain-Inspired Way of Reducing the Network Complexity via Concept-Regularized Coding for Emotion Recognition	issue/576
aaai	other_task	AAAI-24	A Novel Energy Based Model Mechanism for Multi-Modal Aspect-Based Sentiment Analysis	issue/592
aaai	other_task	AAAI-24	Aspect-Based Sentiment Analysis with Explicit Sentiment Augmentations	issue/592
aaai	other_task	AAAI-24	Beyond Mimicking Under-Represented Emotions: Deep Data Augmentation with Emotional Subspace Constraints for EEG-Based Emotion Recognition	issue/584
aaai	other_task	AAAI-24	CAMEL: Capturing Metaphorical Alignment with Context Disentangling for Multimodal Emotion Recognition	issue/583
aaai	other_task	AAAI-24	CARAT: Contrastive Feature Reconstruction and Aggregation for Multi-Modal Multi-Label Emotion Recognition	issue/588
aaai	other_task	AAAI-24	Counterfactual-Enhanced Information Bottleneck for Aspect-Based Sentiment Analysis	issue/591
aaai	other_task	AAAI-24	DMMR: Cross-Subject Domain Generalization for EEG-Based Emotion Recognition via Denoising Mixed Mutual Reconstruction	issue/576
aaai	other_task	AAAI-24	QPEN: Quantum Projection and Quantum Entanglement Enhanced Network for Cross-Lingual Aspect-Based Sentiment Analysis	issue/592
aaai	other_task	AAAI-24	TextGT: A Double-View Graph Transformer on Text for Aspect-Based Sentiment Analysis	issue/592
aaai	other_task	AAAI-25	Aspect Enhancement and Text Simplification in Multimodal Aspect-Based Sentiment Analysis for Multi-Aspect and Multi-Sentiment Scenarios	issue/625
aaai	other_task	AAAI-25	BIG-FUSION: Brain-Inspired Global-Local Context Fusion Framework for Multimodal Emotion Recognition in Conversations	issue/625
aaai	other_task	AAAI-25	Beyond Single Emotion: Multi-label Approach to Conversational Emotion Recognition	issue/646
aaai	other_task	AAAI-25	DEQA: Descriptions Enhanced Question-Answering Framework for Multimodal Aspect-Based Sentiment Analysis	issue/645
aaai	other_task	AAAI-25	Dual-View Learning for Conversational Emotion Recognition Through Context and Emotion-Shift Modeling	issue/647
aaai	other_task	AAAI-25	Dynamic Interactive Bimodal Hypergraph Networks for Emotion Recognition in Conversations	issue/625
aaai	other_task	AAAI-25	Enhancing Multimodal Affective Analysis with Learned Live Comment Features	issue/638
aaai	other_task	AAAI-25	GaitCycFormer: Leveraging Gait Cycles and Transformers for Gait Emotion Recognition.	issue/632
aaai	other_task	AAAI-25	Multi-to-Single: Reducing Multimodal Dependency in Emotion Recognition Through Contrastive Learning	issue/625
aaai	other_task	AAAI-25	Personalized Dynamic Music Emotion Recognition with Dual-Scale Attention-Based Meta-Learning	issue/625
aaai	other_task	AAAI-25	Revisiting Multimodal Emotion Recognition in Conversation from the Perspective of Graph Spectrum	issue/634
aaai	other_task	AAAI-25	Utterance-level Emotion Recognition in Conversation with Conversation-level Supervision	issue/646
aaai	other_task	AAAI-26	Advancing Multimodal Teacher Sentiment Analysis: The Large-Scale T-MED Dataset & the Effective AAM-TSA Model	issue/685
aaai	other_task	AAAI-26	Causal-ERC: A Multimodal Framework with Causal Prompting for Emotion Recognition in Conversations with Large Language Models	issue/719
aaai	other_task	AAAI-26	Cross-Space Synergy: A Unified Framework for Multimodal Emotion Recognition in Conversation	issue/711
aaai	other_task	AAAI-26	Cross-modal Prompting for Balanced Incomplete Multi-modal Emotion Recognition	issue/702
aaai	other_task	AAAI-26	DHCM-CACL: Dynamic Hierarchical Cross-modal Mamba with Confidence-Adaptive Contrastive Learning for Multimodal Emotion Recognition	issue/685
aaai	other_task	AAAI-26	DanceHA: A Multi-Agent Framework for Document-Level Aspect-Based Sentiment Analysis	issue/717
aaai	other_task	AAAI-26	Do LLMs Feel? Teaching Emotion Recognition with Prompts, Retrieval, and Curriculum Learning	issue/720
aaai	other_task	AAAI-26	EmoVid: A Multimodal Emotion Video Dataset for Emotion-Centric Video Understanding and Generation	issue/691
aaai	other_task	AAAI-26	Let the Model Learn to Feel: Mode-Guided Tonality Injection for Symbolic Music Emotion Recognition	issue/685
aaai	other_task	AAAI-26	Reinforce Trustworthiness in Multimodal Emotional Support System	issue/719
aaai	other_task	AAAI-26	SPP-SCL: Semi-Push-Pull Supervised Contrastive Learning for Image-Text Sentiment Analysis and Beyond	issue/685
aaai	other_task	AAAI-26	TiCAL:Typicality-Based Consistency-Aware Learning for Multimodal Emotion Recognition	issue/702
aaai	other_task	AAAI-26	Voices, Faces, and Feelings: Multi-modal Emotion-Cognition Captioning for Mental Health Understanding	issue/685
aaai	other_task	IAAI-24,	Practical Sentiment Analysis for Education: The Power of Student Crowdsourcing	issue/596
acl	IN_SCOPE	2024.emnlp-main	D2R: Dual-Branch Dynamic Routing Network for Multimodal Sentiment Detection	2024.emnlp-main.207
acl	IN_SCOPE	2024.findings-emnlp	Knowledge-Guided Dynamic Modality Attention Fusion Framework for Multimodal Sentiment Analysis	2024.findings-emnlp.865
acl	IN_SCOPE	2025.acl-long	Proxy-Driven Robust Multimodal Sentiment Analysis with Incomplete Data	2025.acl-long.1075
acl	IN_SCOPE	2025.emnlp-main	Dual-Path Dynamic Fusion with Learnable Query for Multimodal Sentiment Analysis	2025.emnlp-main.571
acl	IN_SCOPE	2025.findings-acl	Cross-lingual Multimodal Sentiment Analysis for Low-Resource Languages via Language Family Disentanglement and Rethinking Transfer	2025.findings-acl.338
acl	IN_SCOPE	2025.findings-emnlp	TF-Mamba: Text-enhanced Fusion Mamba with Missing Modalities for Robust Multimodal Sentiment Analysis	2025.findings-emnlp.602
acl	IN_SCOPE	2026.acl-long	Beyond Static Alignment: Adaptive Arbitration for Semantic Incongruence in Semi-Supervised Multimodal Sentiment Analysis	2026.acl-long.1904
acl	IN_SCOPE	2026.acl-long	QA-MoE: Towards a Continuous Reliability Spectrum with Quality-Aware Mixture of Experts for Robust Multimodal Sentiment Analysis	2026.acl-long.1461
acl	IN_SCOPE	2026.findings-acl	DEAR: Distributional Error-Aware Reliability for Robust Multimodal Sentiment Analysis with Missing Modalities	2026.findings-acl.1517
acl	IN_SCOPE	2026.findings-acl	Fast Retrieval and Slow Reasoning for Explainable Multimodal Sentiment Analysis	2026.findings-acl.1519
