source	tier	venue	title
cvf	IN_SCOPE	CVPR2026	Active Perceptual Inference: A Corticothalamic-Inspired Dynamic Nested Recurrent Network for Multimodal Sentiment Analysis with Incomplete Data
cvf	IN_SCOPE	CVPR2026	CICA: Coupling Confidence-Aware Pretraining with Confidence-Informed Attention for Robust Multimodal Sentiment Analysis
cvf	IN_SCOPE	CVPR2026	Conflict-Aware Adaptive Cross-Reconstruction for Multimodal Sentiment Analysis
cvf	IN_SCOPE	CVPR2026	Enhance-then-Balance Modality Collaboration for Robust Multimodal Sentiment Analysis
cvf	IN_SCOPE	CVPR2026	Factorize, Reconstruct, Enhance: A Unified Framework for Multimodal Sentiment Analysis
cvf	IN_SCOPE	CVPR2026	Multi-Metric Representation Learning Strategy Based on Clustering for Fine-Grained Multimodal Sentiment Analysis
cvf	IN_SCOPE	CVPR2026	Prototype-as-Prompt: Multimodal Sentiment Prototypes Endowing Large Language Models the Capability to Perform Multimodal Sentiment Analysis
cvf	IN_SCOPE	CVPR2026	Tri-Subspaces Disentanglement for Multimodal Sentiment Analysis
cvf	IN_SCOPE	ICCV2025	CMAD: Correlation-Aware and Modalities-Aware Distillation for Multimodal Sentiment Analysis with Missing Modalities
cvf	other_task	CVPR2026	Beyond Missing Modalities: Hypergraph Conditioned Diffusion for Uncertainty-Aware Multimodal Emotion Recognition
cvf	other_task	CVPR2026	Nano-EmoX: Unifying Multimodal Emotional Intelligence from Perception to Empathy
cvf	other_task	WACV2026	Divide and Refine: Enhancing Multimodal Representation and Explainability for Emotion Recognition in Conversation
cvf	other_task	WACV2026	Robust Multimodal Emotion Recognition from Incomplete Modalities via Query-Based Unimodal and Cross-Modal Learning
cvf	other_task	WACV2026	SynchroRaMa : Lip-Synchronized and Emotion-Aware Talking Face Generation via Multi-Modal Emotion Embedding
dblp	IN_SCOPE	aaai2019	Multi-Interactive Memory Network for Aspect Based Multimodal Sentiment Analysis
dblp	IN_SCOPE	aaai2019	VistaNet: Visual Aspect Attention Network for Multimodal Sentiment Analysis
dblp	IN_SCOPE	aaai2020	Trimodal Attention Module for Multimodal Sentiment Analysis (Student Abstract)
dblp	IN_SCOPE	aaai2021	Learning Modality-Specific Representations with Self-Supervised Multi-Task Learning for Multimodal Sentiment Analysis
dblp	IN_SCOPE	aaai2023	Robust-MSA: Understanding the Impact of Modality Noise on Multimodal Sentiment Analysis
dblp	IN_SCOPE	aaai2024	A Unified Self-Distillation Framework for Multimodal Sentiment Analysis with Uncertain Missing Modalities
dblp	IN_SCOPE	aaai2025	A Multi-Focus-Driven Multi-Branch Network for Robust Multimodal Sentiment Analysis
dblp	IN_SCOPE	aaai2025	Bridging the Gap for Test-Time Multimodal Sentiment Analysis
dblp	IN_SCOPE	aaai2025	DLF: Disentangled-Language-Focused Multimodal Sentiment Analysis
dblp	IN_SCOPE	aaai2025	Enriching Multimodal Sentiment Analysis Through Textual Emotional Descriptions of Visual-Audio Content
dblp	IN_SCOPE	aaai2025	MSAmba: Exploring Multimodal Sentiment Analysis with State Space Models
dblp	IN_SCOPE	aaai2025	MSE-Adapter: A Lightweight Plugin Endowing LLMs with the Capability to Perform Multimodal Sentiment Analysis and Emotion Recognition
dblp	IN_SCOPE	aaai2025	Semi-IIN: Semi-Supervised Intra-Inter Modal Interaction Learning Network for Multimodal Sentiment Analysis
dblp	IN_SCOPE	aaai2025	Towards Multimodal Sentiment Analysis via Hierarchical Correlation Modeling with Semantic Distribution Constraints
dblp	IN_SCOPE	aaai2026	A Text-Routed Sparse Mixture-of-Experts Model with Explanation and Temporal Alignment for Multi-Modal Sentiment Analysis
dblp	IN_SCOPE	aaai2026	FINE: Factorized Multimodal Sentiment Analysis via Mutual INformation Estimation
dblp	IN_SCOPE	aaai2026	Group-aware Multiscale Ensemble Learning for Test-Time Multimodal Sentiment Analysis
