key	title	venue	class	code	status
almt	Learning Language-guided Adaptive Hyper-modality Representation for Multimodal Sentiment Analysis	EMNLP 2023			reproduced
bert_mag	Integrating Multimodal Information in Large Pretrained Transformers	ACL 2020		https://github.com/WasifurRahman/BERT_multimodal_transformer	reproduced
cenet	Cross-Modal Enhancement Network for Multimodal Sentiment Analysis			https://github.com/Say2L/CENet	reproduced
cmad	CMAD	ICCV 2025, pp.4626-4636		https://github.com/YetZzzzzz/CMAD	candidate
confede	ConFEDE	ACL 2023 长文, pp.7617-7630	contrastive	https://github.com/XpastaX/ConFEDE/	reproduced
dear	DEAR	Findings of ACL 2026			candidate
dmd	DMD	CVPR 2023 (highlight), pp.6631-6640		https://github.com/mdswyz/DMD	reproduced
dpdf_lq	DPDF-LQ	EMNLP 2025 主会		https://github.com/ZhouMiaoGX/DPDF-LQ	reproduced
ebmc	EBMC	CVPR 2026, pp.30183-30193		https://github.com/kangverse/EBMC	candidate
fast_retrieval_and_slow_reasoning**_explainable_msa	Fast Retrieval and Slow Reasoning** Explainable MSA	Findings of ACL 2026			candidate
feada	FeaDA	IJCNLP-AACL 2025		https://github.com/PowerLittleYin/FeaDA-main	candidate
graph_mfn	Multimodal Language Analysis in the Wild: **CMU-MOSEI Dataset** and Interpretable Dynamic Fusion Graph	ACL 2018			reproduced
kuda**_knowledge_guided_dynamic_modality_attention_fusion	KuDA** Knowledge-Guided Dynamic Modality Attention Fusion	Findings of EMNLP 2024		https://github.com/MKMaS-GUET/KuDA	candidate
lfd_rt**_cross_lingual_msa,_language_family_disentanglement	LFD-RT** Cross-lingual MSA, Language Family Disentanglement	Findings of ACL 2025		https://github.com/ShuoyuGuan/LFD-RT	candidate
lmf	Efficient Low-rank Multimodal Fusion With Modality-Specific Factors	ACL 2018		https://github.com/Justin1904/Low-rank-Multimodal-Fusion	reproduced
mctn	Found in Translation: Learning Robust Joint Representations by Cyclic Translations Between Modalities			https://github.com/hainow/MCTN	reproduced
mer_clip	MER-CLIP	WACV 2025, pp.6115-6124			candidate
mfm	Learning Factorized Multimodal Representations			https://github.com/pliang279/factorized/	reproduced
mfn	Memory Fusion Network for Multi-view Sequential Learning	AAAI-18		https://github.com/pliang279/MFN	reproduced
misa	MISA: Modality-Invariant and -Specific Representations for Multimodal Sentiment Analysis	arXiv:2005.03545		https://github.com/declare-lab/MISA	reproduced
mma	MMA	NAACL 2025 长文		https://github.com/MMA4MSA/MMA	candidate
mmim	Improving Multimodal Fusion with Hierarchical Mutual Information Maximization for Multimodal Sentiment Analysis	EMNLP 2021	contrastive	https://github.com/declare-lab/Multimodal-Infomax	reproduced
molan	MoLAN	Findings of ACL 2026		https://github.com/betterfly123/MoLAN-Framework	candidate
mulcot_rd**_resource_limited_joint_msa_reasoning（cot_蒸馏）	MulCoT-RD** Resource-Limited Joint MSA Reasoning（CoT 蒸馏）	Findings of ACL 2026		https://github.com/123sghn/MulCoT-RD	candidate
mult	Multimodal Transformer for Unaligned Multimodal Language Sequences	ACL 2019		https://github.com/yaohungt/Multimodal-Transformer	reproduced
p_rmf	P-RMF	ACL 2025 长文			candidate
qa_moe**_quality_aware_mixture_of_experts,_robust_msa	QA-MoE** Quality-Aware Mixture of Experts, Robust MSA	ACL 2026 长文			candidate
self_mm	Learning Modality-Specific Representations with Self-Supervised Multi-Task Learning for Multimodal Sentiment Analysis	AAAI 2021		https://github.com/thuiar/Self-MM	reproduced
tetfn	TETFN: A text enhanced transformer fusion network for multimodal sentiment analysis				reproduced
tf_mamba**_text_enhanced_fusion_mamba,_missing_modalities	TF-Mamba** Text-enhanced Fusion Mamba, Missing Modalities	Findings of EMNLP 2025		https://github.com/codemous/TF-Mamba	candidate
tfn	Tensor Fusion Network for Multimodal Sentiment Analysis	EMNLP 2017			reproduced
uncertainty_calibrated_elastic_alignment**,_missing_modalities	Uncertainty-Calibrated Elastic Alignment**, Missing Modalities	Findings of ACL 2026			candidate
active_perceptual_inference_a_corticotha	Active Perceptual Inference: A Corticothalamic-Inspired Dynamic Nested Recurrent Network for Multimodal Sentiment Analysis with Incomplete Data	CVPR2026			candidate
cica_coupling_confidence_aware_pretraini	CICA: Coupling Confidence-Aware Pretraining with Confidence-Informed Attention for Robust Multimodal Sentiment Analysis	CVPR2026			candidate
conflict_aware_adaptive_cross_reconstruc	Conflict-Aware Adaptive Cross-Reconstruction for Multimodal Sentiment Analysis	CVPR2026			candidate
enhance_then_balance_modality_collaborat	Enhance-then-Balance Modality Collaboration for Robust Multimodal Sentiment Analysis	CVPR2026			candidate
factorize_reconstruct_enhance_a_unified	Factorize, Reconstruct, Enhance: A Unified Framework for Multimodal Sentiment Analysis	CVPR2026			candidate
multi_metric_representation_learning_str	Multi-Metric Representation Learning Strategy Based on Clustering for Fine-Grained Multimodal Sentiment Analysis	CVPR2026			candidate
prototype_as_prompt_multimodal_sentiment	Prototype-as-Prompt: Multimodal Sentiment Prototypes Endowing Large Language Models the Capability to Perform Multimodal Sentiment Analysis	CVPR2026			candidate
tri_subspaces_disentanglement_for_multim	Tri-Subspaces Disentanglement for Multimodal Sentiment Analysis	CVPR2026			candidate
cmad_correlation_aware_and_modalities_aw	CMAD: Correlation-Aware and Modalities-Aware Distillation for Multimodal Sentiment Analysis with Missing Modalities	ICCV2025			candidate
multi_interactive_memory_network_for_asp	Multi-Interactive Memory Network for Aspect Based Multimodal Sentiment Analysis	aaai2019			candidate
vistanet_visual_aspect_attention_network	VistaNet: Visual Aspect Attention Network for Multimodal Sentiment Analysis	aaai2019			candidate
trimodal_attention_module_for_multimodal	Trimodal Attention Module for Multimodal Sentiment Analysis (Student Abstract)	aaai2020			candidate
robust_msa_understanding_the_impact_of_m	Robust-MSA: Understanding the Impact of Modality Noise on Multimodal Sentiment Analysis	aaai2023			candidate
a_unified_self_distillation_framework_fo	A Unified Self-Distillation Framework for Multimodal Sentiment Analysis with Uncertain Missing Modalities	aaai2024			candidate
a_multi_focus_driven_multi_branch_networ	A Multi-Focus-Driven Multi-Branch Network for Robust Multimodal Sentiment Analysis	aaai2025			candidate
bridging_the_gap_for_test_time_multimoda	Bridging the Gap for Test-Time Multimodal Sentiment Analysis	aaai2025			candidate
dlf_disentangled_language_focused_multim	DLF: Disentangled-Language-Focused Multimodal Sentiment Analysis	aaai2025			candidate
enriching_multimodal_sentiment_analysis	Enriching Multimodal Sentiment Analysis Through Textual Emotional Descriptions of Visual-Audio Content	aaai2025			candidate
msamba_exploring_multimodal_sentiment_an	MSAmba: Exploring Multimodal Sentiment Analysis with State Space Models	aaai2025			candidate
mse_adapter_a_lightweight_plugin_endowin	MSE-Adapter: A Lightweight Plugin Endowing LLMs with the Capability to Perform Multimodal Sentiment Analysis and Emotion Recognition	aaai2025			candidate
semi_iin_semi_supervised_intra_inter_mod	Semi-IIN: Semi-Supervised Intra-Inter Modal Interaction Learning Network for Multimodal Sentiment Analysis	aaai2025			candidate
towards_multimodal_sentiment_analysis_vi	Towards Multimodal Sentiment Analysis via Hierarchical Correlation Modeling with Semantic Distribution Constraints	aaai2025			candidate
a_text_routed_sparse_mixture_of_experts	A Text-Routed Sparse Mixture-of-Experts Model with Explanation and Temporal Alignment for Multi-Modal Sentiment Analysis	aaai2026			candidate
fine_factorized_multimodal_sentiment_ana	FINE: Factorized Multimodal Sentiment Analysis via Mutual INformation Estimation	aaai2026			candidate
group_aware_multiscale_ensemble_learning	Group-aware Multiscale Ensemble Learning for Test-Time Multimodal Sentiment Analysis	aaai2026			candidate
mdf_a_modality_aware_disentanglement_and	MDF: A Modality-Aware Disentanglement and Fusion Framework for Multimodal Sentiment Analysis	aaai2026			candidate
psa_mf_personality_sentiment_aligned_mul	PSA-MF: Personality-Sentiment Aligned Multi-Level Fusion for Multimodal Sentiment Analysis	aaai2026			candidate
pase_prototype_aligned_calibration_and_s	PaSE: Prototype-aligned Calibration and Shapley-based Equilibrium for Multimodal Sentiment Analysis	aaai2026			candidate
recovering_coherent_affective_patterns_a	Recovering Coherent Affective Patterns: Addressing Modality Missing in Multimodal Sentiment Analysis	aaai2026			candidate
